repo_name,total_design_smells,total_impl_smells,total_code_smells,God_Class,Feature_Envy,Unutilized_Abstraction,Deficient_Encapsulation,Unexploited_Encapsulation,Multifaceted_Abstraction,Insufficient_Modularization,Hub_Like_Modularization,Cyclically_Dependent_Modularization,Broken_Hierarchy,Rebellious_Hierarchy,Missing_Hierarchy,Wide_Hierarchy,Deep_Hierarchy,Long_Method,Complex_Method,Long_Parameter_List,Magic_Number,Duplicate_Code,Empty_Catch_Clause,Long_Statement,Long_Identifier,Missing_Default,Complex_Conditional,num_classes,num_methods,total_LOC,mean_LOC,median_LOC,mean_WMC,mean_NOF,mean_NOM,mean_FANIN,mean_FANOUT,mean_LCOM,mean_DIT,mean_method_LOC,mean_CC,max_CC,smell_density,commit_count,days_active,author_count,timezone_count,num_communities,num_tags,num_prs,num_issues,mean_author_days,mean_commits_per_author,max_commits_per_author,mean_centrality,mean_pr_participants,mean_issue_participants,mean_issue_comments,lone_wolf_indicator,radio_silence_indicator,org_silo_indicator
Aspose.BarCode-for-Java,41,1121,1162,0,0,36,1,0,0,4,0,0,0,0,0,0,0,0,4,3,1051,0,4,53,5,0,1,48,513,7349.0,153.1,114.0,14.42,3.6,10.69,1.94,1.94,0.1706,0.0,11.71,1.35,22.0,158.1168,456,4649,30,5,10,7,30,1,151.43,15.2,284,0.0782,1.87,2,2,0,0,1
Aspose.Cells-for-Java,307,2133,2440,0,0,257,14,0,0,4,0,0,2,0,0,0,0,5,21,6,1886,0,8,173,12,16,6,912,1705,23281.0,25.53,14.0,2.78,0.65,1.87,1.57,1.57,-0.7641,0.01,11.38,1.49,24.0,104.8065,572,4711,35,5,8,16,46,28,313.14,16.34,167,0.1176,1.72,2.11,3.61,0,0,1
Aspose.Diagram-for-Java,26,320,346,0,0,12,4,0,0,1,0,0,0,0,0,0,0,0,1,1,259,0,5,50,4,0,0,163,363,4008.0,24.59,13.0,3.25,0.65,2.23,2.01,2.01,-0.8047,0.01,9.36,1.46,8.0,86.3273,89,3015,21,3,13,3,16,5,178.9,4.24,19,0.0524,1.56,2,2,0,0,1
Aspose.Email-for-Java,180,670,850,0,0,113,49,0,0,1,0,0,0,0,0,0,0,1,4,3,430,0,12,207,7,2,4,310,967,11068.0,35.7,21.0,4.76,0.85,3.12,1.23,1.23,-0.68,0.01,9.82,1.53,9.0,76.798,201,3018,33,5,12,8,42,6,183.67,6.09,52,0.0947,1.48,1.83,0.83,0,0,1
Aspose.HTML-for-Java,156,358,514,0,0,144,5,0,0,1,0,0,4,0,0,0,0,0,1,1,283,0,2,71,0,0,0,161,289,2722.0,16.91,11.0,2.39,0.16,1.8,0.26,0.26,-0.8374,0.02,8.29,1.33,8.0,188.8317,37,2980,13,4,7,0,8,1,66.46,2.85,6,0.0897,1.5,2,1,0,0,1
Aspose.PDF-for-Java,253,840,1093,0,0,172,12,0,0,3,1,0,0,0,0,0,0,2,6,4,634,0,12,162,11,0,9,313,1096,12121.0,38.73,20.0,4.87,1.05,3.5,1.21,1.21,-0.7416,0.01,9.03,1.39,10.0,90.1741,301,4542,37,7,12,9,28,36,167.62,8.14,141,0.0766,1.61,2.28,2.58,0,0,1
Aspose.Slides-for-Java,593,2792,3385,0,0,540,16,0,0,4,0,0,0,0,0,0,0,3,13,4,2367,0,15,372,11,0,7,700,1357,20246.0,28.92,18.0,3.67,0.52,1.94,1.2,1.2,-0.8472,0.0,12.59,1.89,14.0,167.1935,466,4712,31,4,6,10,22,10,231.65,15.03,86,0.1097,1.82,2.4,3.4,0,0,1
Aspose.Words-for-Java,1136,11957,13093,0,0,630,155,0,15,90,0,0,203,6,0,3,0,3,56,73,8500,0,12,3134,61,90,28,1063,9400,104222.0,98.05,32.0,12.96,1.98,8.84,0.86,0.86,-0.2545,0.23,10.3,1.47,24.0,125.6261,864,5045,36,7,5,53,40,75,430.67,24,151,0.1508,1.77,2.36,4.13,0,0,1
Commerce-API-Java,7,31,38,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,26,0,0,1,11,59,1203.0,109.36,62.0,5.73,2.18,5.36,1.82,1.82,0.178,0.0,19.61,1.07,2.0,31.5877,16,19,2,1,1,0,1,1,10.5,8,15,1.0,1,1,1,1,0,0
Core-Java,432,1822,2254,0,0,396,5,2,0,0,0,0,2,0,2,0,0,0,9,13,1663,0,8,120,1,2,6,535,1053,12182.0,22.77,17.0,3.1,0.47,1.97,0.29,0.29,-0.7931,0.01,9.85,1.58,12.0,185.0271,320,1776,6,2,2,0,12,1,440,53.33,240,0.6,1.25,2,1,0,0,0
ELK-Logger,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,30.0,10.0,5.0,1.33,0.33,1.33,0.33,0.33,-0.6667,0.0,5.75,1.0,1.0,66.6667,28,23,4,3,1,0,2,2,1,7,16,1.0,2,1,0,0,0,0
Java_MVVM_with_Swing_and_RxJava_Examples,64,374,438,0,0,39,22,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0,46,3,0,0,105,295,2749.0,26.18,16.0,3.23,1.73,2.81,2.33,2.33,-0.3394,0.0,7.93,1.15,5.0,159.3307,112,440,2,3,1,6,3,5,221,56,108,1.0,1.67,2,4.4,1,0,0
OpenPgp-BounceCastle-Example,1,15,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,9,0,0,0,3,15,276.0,92.0,47.0,14.0,3.67,5.0,1.0,1.0,-0.0667,0.0,15.67,2.8,10.0,57.971,6,1166,2,2,1,0,1,6,584,3,4,1.0,1,1.67,1,1,0,0
TA-Lib-Java-Examples,4,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,76.0,38.0,38.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,28.0,4.0,4.0,52.6316,4,1302,3,2,1,0,1,3,435,1.33,2,0.6667,2,1.33,0.67,0,0,0
akka-java-examples,18,17,35,0,0,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,1,0,0,0,25,59,442.0,17.68,19.0,2.96,1.32,2.36,0.68,0.68,0.016,0.0,4.92,1.25,4.0,79.1855,12,33,1,2,1,0,3,2,34,12,12,1.0,1.33,2,1.5,1,0,0
