repo_name,num_classes,num_methods,total_LOC,mean_LOC,median_LOC,mean_WMC,mean_NOF,mean_NOM,mean_FANIN,mean_FANOUT,mean_LCOM,mean_DIT,mean_method_LOC,mean_CC,max_CC,smell_density
Aspose.BarCode-for-Java,48,513,7349.0,153.1,114.0,14.42,3.6,10.69,1.94,1.94,0.1706,0.0,11.71,1.35,22.0,158.1168
Aspose.Cells-for-Java,912,1705,23281.0,25.53,14.0,2.78,0.65,1.87,1.57,1.57,-0.7641,0.01,11.38,1.49,24.0,104.8065
Aspose.Diagram-for-Java,163,363,4008.0,24.59,13.0,3.25,0.65,2.23,2.01,2.01,-0.8047,0.01,9.36,1.46,8.0,86.3273
Aspose.Email-for-Java,310,967,11068.0,35.7,21.0,4.76,0.85,3.12,1.23,1.23,-0.68,0.01,9.82,1.53,9.0,76.798
Aspose.HTML-for-Java,161,289,2722.0,16.91,11.0,2.39,0.16,1.8,0.26,0.26,-0.8374,0.02,8.29,1.33,8.0,188.8317
Aspose.PDF-for-Java,313,1096,12121.0,38.73,20.0,4.87,1.05,3.5,1.21,1.21,-0.7416,0.01,9.03,1.39,10.0,90.1741
Aspose.Slides-for-Java,700,1357,20246.0,28.92,18.0,3.67,0.52,1.94,1.2,1.2,-0.8472,0.0,12.59,1.89,14.0,167.1935
Aspose.Tasks-for-Java,194,643,7712.0,39.75,20.0,4.92,1.08,3.31,1.43,1.43,-0.7304,0.01,9.93,1.49,11.0,98.8071
Aspose.Words-for-Java,1063,9400,104222.0,98.05,32.0,12.96,1.98,8.84,0.86,0.86,-0.2545,0.23,10.3,1.47,24.0,125.6261
Code_Along_with_GZM__JAVA,5,5,75.0,15.0,17.0,3.0,0.0,1.0,0.0,0.0,-1.0,0.0,13.0,3.0,5.0,173.3333
CodingJava,2,2,60.0,30.0,30.0,2.5,0.0,1.0,0.0,0.0,-1.0,0.0,28.0,2.5,4.0,66.6667
Commerce-API-Java,11,59,1203.0,109.36,62.0,5.73,2.18,5.36,1.82,1.82,0.178,0.0,19.61,1.07,2.0,31.5877
Core-Java,535,1053,12182.0,22.77,17.0,3.1,0.47,1.97,0.29,0.29,-0.7931,0.01,9.85,1.58,12.0,185.0271
Core-Java---Madhura-Anturkar,449,956,8030.0,17.88,14.0,2.86,0.9,2.13,0.48,0.48,-0.6491,0.13,6.88,1.34,22.0,157.2852
Core-Java-Tutorial-Projects,2,10,54.0,27.0,27.0,6.5,1.5,5.0,1.0,1.0,-0.5,0.0,4.7,1.3,3.0,129.6296
CoreJava,159,446,5341.0,33.59,19.0,5.2,1.26,2.81,0.33,0.33,-0.5331,0.18,10.36,1.85,26.0,131.0616
Defeat-JAVA,345,1066,13318.0,38.6,21.0,7.43,1.33,3.09,0.44,0.44,-0.5719,0.05,11.83,2.41,26.0,190.6442
Dr.Know,10,43,298.0,29.8,25.5,6.5,1.8,4.3,1.0,1.0,-0.05,0.0,5.72,1.51,7.0,23.4899
ELK-Logger,3,4,30.0,10.0,5.0,1.33,0.33,1.33,0.33,0.33,-0.6667,0.0,5.75,1.0,1.0,66.6667
GraphSearch,10,66,626.0,62.6,41.0,11.5,4.8,6.6,2.5,2.5,0.2669,0.0,7.12,1.74,7.0,59.1054
HapiFhirClientDemo,1,1,32.0,32.0,32.0,6.0,0.0,1.0,0.0,0.0,-1.0,0.0,29.0,6.0,6.0,93.75
HapiFhirServiceDemo,4,18,246.0,61.5,59.5,9.0,1.0,4.5,1.0,1.0,-0.15,0.0,12.22,2.0,6.0,48.7805
HelloWorld,49,93,1345.0,27.45,17.0,3.51,0.43,1.9,0.22,0.22,-0.7687,0.0,13.11,1.85,17.0,100.3717
JAVA,1,2,7.0,7.0,7.0,2.0,0.0,2.0,0.0,0.0,-1.0,0.0,2.5,1.0,1.0,142.8571
JAVA-SAMPLE-CODES,22,47,558.0,25.36,17.0,2.82,1.27,2.14,0.18,0.18,-0.5625,0.09,8.64,1.32,5.0,87.8136
JAVA_TUTORIAL_PROJECTS,7,21,154.0,22.0,18.0,3.71,0.86,3.0,0.71,0.71,-0.7912,0.0,6.29,1.24,2.0,110.3896
Java-Appium-Master,1,3,35.0,35.0,35.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,10.33,1.0,1.0,28.5714
Java-Code-Examples,17,32,364.0,21.41,21.0,5.0,0.0,1.88,0.41,0.41,-1.0,0.0,10.28,2.66,7.0,98.9011
Java-Code-Samples,13,20,219.0,16.85,16.0,3.38,0.15,1.54,0.31,0.31,-0.8923,0.0,9.4,2.2,6.0,86.758
Java-Demo-Application,18,107,1247.0,69.28,72.0,7.22,2.06,5.94,2.94,2.94,-0.1486,0.0,13.52,1.21,4.0,268.6447
Java-Demo-Application-with-Spring-Boot-and-Security,25,105,775.0,31.0,22.0,5.48,1.84,4.2,0.68,0.68,-0.2176,0.04,6.38,1.3,5.0,58.0645
