repo_name,total_commits,first_commit,last_commit,total_days_span,unique_active_days,commits_first_30d,commits_first_90d,commits_first_365d,pct_first_30d,pct_first_90d,pct_first_365d,write_once,burst_then_idle
Aspose.Diagram-for-Java,89,2014-05-29,2022-08-31,3015,59,1,3,8,1.1,3.4,9.0,0,0
Aspose.Email-for-Java,204,2013-03-20,2024-10-03,4215,105,14,19,24,6.9,9.3,11.8,0,0
Code_Along_with_GZM__JAVA,22,2022-08-13,2022-08-15,2,3,22,22,22,100.0,100.0,100.0,1,0
CodingJava,5,2018-10-05,2019-01-11,97,2,2,2,5,40.0,40.0,100.0,0,0
Commerce-API-Java,16,2015-08-22,2015-09-10,19,3,16,16,16,100.0,100.0,100.0,1,0
Core-Java,136,2020-03-26,2024-05-17,1513,109,3,17,92,2.2,12.5,67.6,0,0
Core-Java---Madhura-Anturkar,2,2022-09-27,2022-09-27,0,1,2,2,2,100.0,100.0,100.0,1,0
Core-Java-Tutorial-Projects,4,2019-11-26,2019-11-26,0,1,4,4,4,100.0,100.0,100.0,1,0
CoreJava,17,2019-05-22,2022-08-19,1184,3,15,15,16,88.2,88.2,94.1,1,0
Defeat-JAVA,283,2022-09-30,2023-12-13,438,27,273,281,281,96.5,99.3,99.3,1,1
Dr.Know,18,2018-12-01,2018-12-04,2,3,18,18,18,100.0,100.0,100.0,1,0
ELK-Logger,39,2022-03-09,2025-09-30,1301,4,28,28,28,71.8,71.8,71.8,0,0
GraphSearch,76,2015-12-31,2019-03-31,1186,20,52,69,69,68.4,90.8,90.8,0,1
HapiFhirClientDemo,10,2016-01-03,2021-06-07,1981,7,3,3,7,30.0,30.0,70.0,0,0
HapiFhirServiceDemo,4,2016-01-03,2016-01-06,2,3,4,4,4,100.0,100.0,100.0,1,0
HelloWorld,4,2018-09-08,2023-03-08,1641,3,2,2,2,50.0,50.0,50.0,0,0
JAVA-SAMPLE-CODES,42,2019-09-10,2019-10-24,44,11,35,42,42,83.3,100.0,100.0,1,0
JAVA_TUTORIAL_PROJECTS,8,2018-11-11,2019-03-10,118,4,5,5,8,62.5,62.5,100.0,0,0
Java-Appium-Master,3,2023-02-28,2023-02-28,0,1,3,3,3,100.0,100.0,100.0,1,0
Java-Code-Examples,20,2016-02-08,2016-03-11,32,7,18,20,20,90.0,100.0,100.0,1,0
Java-Code-Samples,14,2012-09-10,2012-12-14,94,2,12,12,14,85.7,85.7,100.0,1,0
Java-Demo-Application,156,2019-03-25,2020-10-13,568,11,153,155,155,98.1,99.4,99.4,1,1
Java-Learning,87,2016-02-09,2022-01-08,2160,50,6,24,49,6.9,27.6,56.3,0,0
Java-Sample-Code,2,2017-10-18,2017-10-20,1,2,2,2,2,100.0,100.0,100.0,1,0
Java-Tutorial,164,2017-11-29,2024-12-31,2588,105,26,39,71,15.9,23.8,43.3,0,0
Java-Tutorial-Projects,1,2020-08-12,2020-08-12,0,1,1,1,1,100.0,100.0,100.0,1,0
Java-application,280,2022-12-29,2024-11-18,689,25,184,271,271,65.7,96.8,96.8,0,1
Java8,17,2019-03-15,2024-10-27,2052,15,6,6,6,35.3,35.3,35.3,0,0
JavaApp,38,2019-07-03,2024-07-18,1841,15,7,8,19,18.4,21.1,50.0,0,0
JavaBasicTutorial,9,2024-12-03,2025-01-17,45,8,7,9,9,77.8,100.0,100.0,0,0
JavaCodeSamples,11,2014-03-16,2018-02-03,1419,3,9,9,9,81.8,81.8,81.8,1,0
JavaCodeSnippets,1,2022-09-16,2022-09-16,0,1,1,1,1,100.0,100.0,100.0,1,0
JavaDemoApplication,11,2016-10-06,2017-11-09,398,6,6,10,10,54.5,90.9,90.9,0,1
JavaDemoJenkins,2,2023-02-02,2023-02-02,0,1,2,2,2,100.0,100.0,100.0,1,0
JavaExamples,58,2015-05-01,2015-08-28,119,33,30,56,58,51.7,96.6,100.0,0,0
JavaExamplesInterviewQuestions,22,2020-05-02,2020-05-02,0,1,22,22,22,100.0,100.0,100.0,1,0
JavaLearningTutorial,1,2023-06-02,2023-06-02,0,1,1,1,1,100.0,100.0,100.0,1,0
JavaPractice,418,2018-07-12,2023-06-14,1798,89,280,372,396,67.0,89.0,94.7,0,0
JavaProject1,1,2022-03-25,2022-03-25,0,1,1,1,1,100.0,100.0,100.0,1,0
JavaRepository,1671,2015-04-30,2015-11-03,187,79,1030,1633,1671,61.6,97.7,100.0,0,0
JavaSampleCode,17,2019-09-15,2019-12-14,90,7,8,17,17,47.1,100.0,100.0,0,0
JavaSampleCodeIS2104,1,2019-08-09,2019-08-09,0,1,1,1,1,100.0,100.0,100.0,1,0
JavaSampleCodes,20,2011-09-24,2014-11-20,1152,8,16,16,16,80.0,80.0,80.0,1,0
JavaSamples,18,2014-02-04,2014-10-01,238,11,7,14,18,38.9,77.8,100.0,0,0
JavaSamplesCode,2,2016-08-13,2016-08-14,1,2,2,2,2,100.0,100.0,100.0,1,0
JavaSnippets,50,2018-06-02,2018-07-19,47,21,36,50,50,72.0,100.0,100.0,0,0
JavaTutorialProject,1,2016-10-13,2016-10-13,0,1,1,1,1,100.0,100.0,100.0,1,0
JavaTutorialProjects,3,2018-04-23,2018-04-24,0,2,3,3,3,100.0,100.0,100.0,1,0
JavaTutorialProjectsGuidedPersonal,1,2023-11-03,2023-11-03,0,1,1,1,1,100.0,100.0,100.0,1,0
JavaTutorialsProject,1,2022-04-08,2022-04-08,0,1,1,1,1,100.0,100.0,100.0,1,0
Java_MVVM_with_Swing_and_RxJava_Examples,112,2015-09-12,2016-11-25,440,16,54,76,103,48.2,67.9,92.0,0,0
Java_SampleCode,3,2015-10-17,2015-11-17,31,2,1,3,3,33.3,100.0,100.0,0,0
Java_Sample_Codes,2,2023-10-21,2023-10-28,6,2,2,2,2,100.0,100.0,100.0,1,0
Java_Tutorials-Projects,6,2022-09-17,2022-10-03,16,4,6,6,6,100.0,100.0,100.0,1,0
KeyAuth-JAVA-api,11,2021-10-07,2022-01-27,111,4,5,8,11,45.5,72.7,100.0,0,0
