repo_name,CommitCount,DaysActive,AuthorCount,TimezoneCount,SponsoredAuthorCount,PercentageSponsoredAuthors,NumberPRs,NumberIssues,NumberPRComments,NumberIssueComments,PRCommentsPositive,PRCommentsNegative,IssueCommentsPositive,IssueCommentsNegative,PRCommentsNegativeRatio,IssueCommentsNegativeRatio,PRCommentsToxicityPercentage,IssueCommentsToxicityPercentage,BusFactorNumber,commitCentrality_Density,commitCentrality_Community Count,commitCentrality_TFN,commitCentrality_TFC,commitCentrality_NumberHighCentralityAuthors,commitCentrality_PercentageHighCentralityAuthors,AuthorActiveDays_mean,AuthorActiveDays_stdev,AuthorCommitCount_mean,AuthorCommitCount_stdev,commitCentrality_Centrality_mean,commitCentrality_Centrality_stdev,commitCentrality_Centrality_count,commitCentrality_Betweenness_mean,commitCentrality_Betweenness_count,commitCentrality_Closeness_mean,commitCentrality_Closeness_count,PRParticipantsCount_mean,PRParticipantsCount_stdev,IssueParticipantCount_mean,IssueParticipantCount_stdev,PRCommentsCount_mean,IssueCommentsCount_mean,PRDuration_mean,IssueDuration_mean,NumberReleases,ACCL,RPCPR,RPCIssue,FirstCommitDate,LastCommitDate,NumberActiveExperiencedDevs,SponsoredTFC,ExperiencedTFC
JavaSampleCodes,20,1152,2,1,0,0.0,,,,,,,,,,,,,,1.0,1,0,100.0,2,1.0,577,814.5870119269027,10,11.313708498984761,1.0,0.0,2,0.0,2,1.0,2,,,,,,,,,,,,,2011-09-23,2014-11-19,,,
demo,1047,1075,6,5,1,0.16666666666666666,77,3,8,4,4,1,2,0,0.012987012987012988,0.0,0,0,0.9493670886075949,0.6,1,2,99.42693409742121,4,0.6666666666666666,395.8333333333333,450.1543809257738,174.5,355.6963592729057,0.6000000000000001,0.282842712474619,6,0.1,6,0.7404100529100529,6,2.6363636363636362,1.1910752650782988,1.6666666666666667,0.5773502691896257,0.1038961038961039,1.3333333333333333,126.35064935064935,840.6666666666666,,249.9375,0,0,2018-09-17,2021-08-27,0,0.4775549188156638,96.4660936007641
MyJavaNLayerTrials,5,595,1,2,0,0.0,,,,,,,,,,,,,,0,1,0,100.0,1,1.0,596,0,5,0,1,0,1,0.0,1,0.0,1,,,,,,,,,,,,,2023-07-04,2025-02-18,,,
java-tutorial-projects,1,0,1,1,0,0.0,,,,,,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,2020-08-12,2020-08-12,,,
MipSDK-File-Java-Basic,41,1298,6,4,3,0.5,10,10,0,6,0,0,1,0,0.0,0.0,0,0,1.0,0.2,3,6,0.0,0,0.0,230.5,439.8689577590126,6.833333333333333,7.1110243050257305,0.2,0.12649110640673517,6,0.016666666666666666,6,0.22222222222222224,6,1.2,0.4216370213557839,1.3,0.6749485577105528,0,0.6,151.4,896.7,,80.58333333333333,0,0,2020-08-21,2024-03-12,0,21.951219512195124,75.60975609756098
azure-cosmos-cassandra-extensions-java-sample-v4,53,492,6,4,1,0.16666666666666666,8,1,0,1,0,0,0,0,0.0,0.0,0,0,-0.5,0.7333333333333333,2,0,100.0,6,1.0,148.33333333333334,192.3025394181436,8.833333333333334,7.25028735062733,0.7333333333333334,0.20655911179772884,6,0.06666666666666667,6,0.8095238095238095,6,1.25,0.4629100498862757,3,0,0,1,94.75,419,,38.5,0,0,2020-04-02,2021-08-07,0,3.7735849056603774,54.71698113207547
azure-cosmos-cassandra-extensions-java-sample,33,420,4,3,1,0.25,,,,,,,,,,,,,,1.0,1,0,100.0,4,1.0,210.75,242.19878199528586,8.25,9.97914491994847,1.0,0.0,4,0.0,4,1.0,4,,,,,,,,,,,,,2020-01-30,2021-03-26,,,
azure-functions-samples-java,68,1658,14,10,6,0.42857142857142855,41,5,17,3,7,1,1,0,0.0,0.0,0,0,1.0,0.16483516483516483,4,14,0.0,0,0.0,177.92857142857142,249.5982816403234,4.857142857142857,6.992932067530679,0.16483516483516483,0.11231475562267258,14,0.028388278388278388,14,0.24432756162589797,14,2.073170731707317,0.8182372486766606,1.4,0.5477225575051661,0.4146341463414634,0.6,29.317073170731707,423.4,,99.4607843137255,0,0,2020-02-13,2024-08-29,0,30.88235294117647,79.41176470588235
azure-search-java-samples,168,2498,13,7,6,0.46153846153846156,,,,,,,,,,,,,,0.24358974358974358,3,12,38.095238095238095,1,0.07692307692307693,264.53846153846155,503.161938045234,12.923076923076923,19.137491730725575,0.24358974358974358,0.18465915316875806,13,0.09906759906759907,13,0.500450048360971,13,,,,,,,,,,,,,2019-04-01,2026-02-02,,,
azure-spring-data-cosmos-java-sql-api-samples,42,1440,9,4,4,0.4444444444444444,15,5,2,8,1,0,5,1,0.0,0.0,0,0,1.0,0.1111111111111111,5,9,0.0,0,0.0,88.22222222222223,245.19929535878452,4.666666666666667,3.3166247903554,0.1111111111111111,0.041666666666666664,9,0.0,9,0.1111111111111111,9,1.2666666666666666,0.5936168397046637,1.8,0.4472135954999579,0.13333333333333333,1.6,228.73333333333332,184,,155.0,0,0,2020-08-12,2024-07-23,0,47.61904761904761,23.809523809523807
