repo_name,CommitCount,AuthorCount,DaysActive,TimezoneCount,NumberPRs,NumberIssues,BusFactorNumber,commitCentrality_Density,commitCentrality_Community Count,commitCentrality_NumberHighCentralityAuthors,PRParticipantsCount_mean,IssueParticipantCount_mean,IssueCommentsCount_mean,AuthorCommitCount_mean,AuthorActiveDays_mean,commitCentrality_Centrality_mean,lone_wolf,radio_silence,org_silo,total_code_smells,total_design_smells,total_impl_smells,God_Class,Feature_Envy,Long_Method,Complex_Method,Long_Parameter_List,Magic_Number,Duplicate_Code,Unutilized_Abstraction,Deficient_Encapsulation
JavaSampleCodes,20,2,1152,1,,,,1.0,1.0,2.0,,,,10.0,577.0,1.0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
demo,1047,6,1075,5,77.0,3.0,0.9493670886075948,0.6,1.0,4.0,2.636363636363636,1.6666666666666667,1.3333333333333333,174.5,395.8333333333333,0.6000000000000001,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
MyJavaNLayerTrials,5,1,595,2,,,,0.0,1.0,1.0,,,,5.0,596.0,1.0,0,1,0,9,6,3,0,0,0,0,0,3,0,6,0
Java-Tutorial-Projects,1,1,0,1,,,,,,,,,,1.0,1.0,,0,1,0,48,1,47,0,0,0,1,0,44,0,1,0
MipSDK-File-Java-Basic,41,6,1298,4,10.0,10.0,1.0,0.2,3.0,0.0,1.2,1.3,0.6,6.833333333333333,230.5,0.2,1,0,1,7,4,3,0,0,0,0,0,0,0,2,1
azure-cosmos-cassandra-extensions-java-sample-v4,53,6,492,4,8.0,1.0,-0.5,0.7333333333333333,2.0,6.0,1.25,3.0,1.0,8.833333333333334,148.33333333333334,0.7333333333333334,0,0,0,11,1,10,0,0,0,0,1,3,0,0,1
azure-cosmos-cassandra-extensions-java-sample,33,4,420,3,,,,1.0,1.0,4.0,,,,8.25,210.75,1.0,0,1,0,15,2,13,0,0,0,0,1,8,0,1,1
azure-functions-samples-java,68,14,1658,10,41.0,5.0,1.0,0.1648351648351648,4.0,0.0,2.073170731707317,1.4,0.6,4.857142857142857,177.92857142857142,0.1648351648351648,1,0,1,80,43,37,0,0,0,0,3,14,0,31,10
azure-search-java-samples,168,13,2498,7,,,,0.2435897435897435,3.0,1.0,,,,12.923076923076923,264.53846153846155,0.2435897435897435,0,1,1,100,20,80,0,0,0,1,0,34,0,12,3
azure-spring-data-cosmos-java-sql-api-samples,42,9,1440,4,15.0,5.0,1.0,0.1111111111111111,5.0,0.0,1.2666666666666666,1.8,1.6,4.666666666666667,88.22222222222223,0.1111111111111111,1,0,1,8,2,6,0,0,0,0,0,4,0,2,0
communication-services-android-calling-hero,68,12,1092,4,131.0,6.0,0.8571428571428571,0.3787878787878788,4.0,4.0,2.931297709923664,2.5,3.6666666666666665,5.666666666666667,134.33333333333334,0.3787878787878788,0,0,0,47,16,31,0,0,0,0,1,4,0,8,3
data-box-samples,46,9,919,4,8.0,,,0.3055555555555556,3.0,2.0,2.125,,,5.111111111111111,90.22222222222224,0.3055555555555556,0,0,0,232,1,231,0,0,1,0,0,229,0,1,0
ms-identity-android-java,112,28,2221,8,75.0,26.0,1.0,0.0952380952380952,7.0,0.0,1.88,1.807692307692308,1.4230769230769231,4.0,100.64285714285714,0.0952380952380952,1,0,1,62,11,51,0,0,0,0,1,1,0,6,2
ms-identity-docs-code-java,29,8,1064,7,51.0,,,0.25,4.0,1.0,0.9607843137254902,,,3.625,58.5,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
open-liberty-on-aks,124,11,1575,6,48.0,1.0,0.7777777777777778,0.2909090909090909,3.0,2.0,1.1875,2.0,5.0,11.272727272727272,303.45454545454544,0.2909090909090909,0,0,1,8,6,2,0,0,0,0,0,0,0,6,0
demo-DSV-java,3,1,0,1,,,,,,,,,,3.0,1.0,,0,1,0,3,1,2,0,0,0,0,0,2,0,1,0
