repo_name,owner,repo_slug,project_year,snapshot_date,first_commit_date,snapshot_commit,commit_count,author_count,days_active,bus_factor_number,pr_count,issue_count,pr_participants_mean,issue_participants_mean,timezone_count,lone_wolf,radio_silence,org_silo,org_silo_proxy,total_code_smells,total_design_smells,total_impl_smells,design_Broken_Hierarchy,design_Broken_Modularization,design_Cyclic-Dependent_Modularization,design_Deficient_Encapsulation,design_Imperative_Abstraction,design_Insufficient_Modularization,design_Missing_Hierarchy,design_Multifaceted_Abstraction,design_Multipath_Hierarchy,design_Rebellious_Hierarchy,design_Unexploited_Encapsulation,design_Unnecessary_Abstraction,design_Unutilized_Abstraction,design_Wide_Hierarchy,impl_Abstract_Function_Call_From_Constructor,impl_Complex_Conditional,impl_Complex_Method,impl_Empty_catch_clause,impl_Long_Identifier,impl_Long_Method,impl_Long_Parameter_List,impl_Long_Statement,impl_Magic_Number,impl_Missing_default
Aspose.Diagram-for-Java,aspose-diagram,Aspose.Diagram-for-Java,1,2023-08-31,2022-08-31,426253e166aa,74,21,3015,0.2568,16,4,0.0,2.5,3,0,0,0,0,346,26,320,,,9,4,,1,,,,,,,12,,,,1,5,4,,1,50,259,
Aspose.Diagram-for-Java,aspose-diagram,Aspose.Diagram-for-Java,2,2024-08-30,2022-08-31,426253e166aa,74,21,3015,0.2568,16,4,0.0,2.5,3,0,0,0,0,346,26,320,,,9,4,,1,,,,,,,12,,,,1,5,4,,1,50,259,
Aspose.Diagram-for-Java,aspose-diagram,Aspose.Diagram-for-Java,3,2025-08-30,2022-08-31,426253e166aa,74,21,3015,0.2568,16,5,0.0,2.0,3,0,0,0,0,346,26,320,,,9,4,,1,,,,,,,12,,,,1,5,4,,1,50,259,
Aspose.Email-for-Java,aspose-email,Aspose.Email-for-Java,1,2022-06-24,2021-06-24,cf4567e54f79,156,31,3018,0.2115,40,5,0.03,0.8,3,0,0,0,0,850,180,670,,,14,49,2,1,,,,,,1,113,,,4,4,12,7,1,3,207,430,2
Aspose.Email-for-Java,aspose-email,Aspose.Email-for-Java,2,2023-06-24,2021-06-24,cf4567e54f79,156,31,3018,0.2115,41,6,0.02,0.83,3,0,0,0,0,850,180,670,,,14,49,2,1,,,,,,1,113,,,4,4,12,7,1,3,207,430,2
Aspose.Email-for-Java,aspose-email,Aspose.Email-for-Java,3,2024-06-23,2021-06-24,cf4567e54f79,156,31,3018,0.2115,41,6,0.02,0.83,3,0,0,0,0,850,180,670,,,14,49,2,1,,,,,,1,113,,,4,4,12,7,1,3,207,430,2
Aspose.Email-for-Java,aspose-email,Aspose.Email-for-Java,4,2025-06-23,2021-06-24,cf4567e54f79,156,31,3018,0.2115,42,6,0.02,0.83,3,0,0,0,0,850,180,670,,,14,49,2,1,,,,,,1,113,,,4,4,12,7,1,3,207,430,2
Code_Along_with_GZM__JAVA,GZMaster,Code_Along_with_GZM__JAVA,1,2023-08-14,2022-08-14,39e099136237,9,3,1,0.4444,4,0,0.25,0.0,1,0,0,0,0,13,5,8,,,,,,,,,,,,,5,,,,,,,,,,8,
Code_Along_with_GZM__JAVA,GZMaster,Code_Along_with_GZM__JAVA,2,2024-08-13,2022-08-14,39e099136237,9,3,1,0.4444,4,0,0.25,0.0,1,0,0,0,0,13,5,8,,,,,,,,,,,,,5,,,,,,,,,,8,
Code_Along_with_GZM__JAVA,GZMaster,Code_Along_with_GZM__JAVA,3,2025-08-13,2022-08-14,39e099136237,9,3,1,0.4444,4,0,0.25,0.0,1,0,0,0,0,13,5,8,,,,,,,,,,,,,5,,,,,,,,,,8,
CodingJava,WHUISSZH,CodingJAVA,1,2020-01-11,2019-01-11,91da5e361012,5,3,97,0.4,0,0,0.0,0.0,1,0,1,0,0,1225,245,980,,,,1,3,,,,,,,4,237,,,20,21,,,1,1,20,907,10
CodingJava,WHUISSZH,CodingJAVA,2,2021-01-10,2019-01-11,91da5e361012,5,3,97,0.4,0,0,0.0,0.0,1,0,1,0,0,1225,245,980,,,,1,3,,,,,,,4,237,,,20,21,,,1,1,20,907,10
CodingJava,WHUISSZH,CodingJAVA,3,2022-01-10,2019-01-11,91da5e361012,5,3,97,0.4,0,0,0.0,0.0,1,0,1,0,0,1225,245,980,,,,1,3,,,,,,,4,237,,,20,21,,,1,1,20,907,10
CodingJava,WHUISSZH,CodingJAVA,4,2023-01-10,2019-01-11,91da5e361012,5,3,97,0.4,0,0,0.0,0.0,1,0,1,0,0,1225,245,980,,,,1,3,,,,,,,4,237,,,20,21,,,1,1,20,907,10
CodingJava,WHUISSZH,CodingJAVA,5,2024-01-10,2019-01-11,91da5e361012,5,3,97,0.4,1,0,1.0,0.0,1,0,0,0,0,1225,245,980,,,,1,3,,,,,,,4,237,,,20,21,,,1,1,20,907,10
