repo_name,org,url,loc_val,age_years,commits_val
top-spring-on-kubernetes,spring-guides,https://github.com/spring-guides/top-spring-on-kubernetes,1361,10.789869952087612,38
top-observing-graphql-in-action,spring-guides,https://github.com/spring-guides/top-observing-graphql-in-action,530,1.1937029431895962,10
androidtv-sample-inputs,googlesamples,https://github.com/googlesamples/androidtv-sample-inputs,24208,4.249144421629021,216
android-AppUsageStatistics,googlesamples,https://github.com/googlesamples/android-AppUsageStatistics,808,6.203969883641341,22
android-play-games-in-motion,googlesamples,https://github.com/googlesamples/android-play-games-in-motion,2223,0.05201916495550993,6
android-vision,googlesamples,https://github.com/googlesamples/android-vision,735,4.331279945242985,77
easypermissions,googlesamples,https://github.com/googlesamples/easypermissions,635,5.3579739904175225,184
android-TensorFlowCloudMachineLearningEngineStylizer,googlesamples,https://github.com/googlesamples/android-TensorFlowCloudMachineLearningEngineStylizer,4115,0.01642710472279261,2
sceneform-samples,googlesamples,https://github.com/googlesamples/sceneform-samples,19502,0.06023271731690623,19
gboard-dev-samples,googlesamples,https://github.com/googlesamples/gboard-dev-samples,1165,0.0,5
app-service-api-apps-quickstart-java,Azure-Samples,https://github.com/Azure-Samples/app-service-api-apps-quickstart-java,19223,0.17248459958932238,7
hdinsight-java-storm-eventhub,Azure-Samples,https://github.com/Azure-Samples/hdinsight-java-storm-eventhub,15535,1.8699520876112252,23
event-hubs-java-storm-sender-jms-receiver,Azure-Samples,https://github.com/Azure-Samples/event-hubs-java-storm-sender-jms-receiver,4963,0.3066392881587953,6
hdinsight-kafka-java-get-started,Azure-Samples,https://github.com/Azure-Samples/hdinsight-kafka-java-get-started,13434,6.269678302532512,41
app-service-java-configure-deployment-sources-for-web-apps,Azure-Samples,https://github.com/Azure-Samples/app-service-java-configure-deployment-sources-for-web-apps,15324,5.61533196440794,41
ms-identity-android-native,Azure-Samples,https://github.com/Azure-Samples/ms-identity-android-native,4928,2.4914442162902124,65
active-directory-b2c-android-native-msal,Azure-Samples,https://github.com/Azure-Samples/active-directory-b2c-android-native-msal,25537,3.40041067761807,53
cognitive-services-java-computer-vision-tutorial,Azure-Samples,https://github.com/Azure-Samples/cognitive-services-java-computer-vision-tutorial,2789,0.10677618069815195,20
media-services-v3-java,Azure-Samples,https://github.com/Azure-Samples/media-services-v3-java,74258,5.535934291581109,161
azure-cosmosdb-bulkingestion,Azure-Samples,https://github.com/Azure-Samples/azure-cosmosdb-bulkingestion,1554,1.2813141683778233,15
couchbaseTocosmosdb,Azure-Samples,https://github.com/Azure-Samples/couchbaseTocosmosdb,1099,0.0027378507871321013,8
azure-cosmos-java-sql-app-example,Azure-Samples,https://github.com/Azure-Samples/azure-cosmos-java-sql-app-example,1421,0.1998631074606434,19
azure-cosmos-cassandra-extensions-java-spring-boot-sample-v4,Azure-Samples,https://github.com/Azure-Samples/azure-cosmos-cassandra-extensions-java-spring-boot-sample-v4,5560,0.6625598904859685,44
github-actions-deployment-slots,Azure-Samples,https://github.com/Azure-Samples/github-actions-deployment-slots,58909,0.0027378507871321013,10
cosmosdb-mongodb-vcore-wildcard-indexing,Azure-Samples,https://github.com/Azure-Samples/cosmosdb-mongodb-vcore-wildcard-indexing,34341,0.0,3
aws-mobile-self-paced-labs-samples,aws-samples,https://github.com/aws-samples/aws-mobile-self-paced-labs-samples,8736,3.2799452429842573,10
aws-dms-cdc-sample,aws-samples,https://github.com/aws-samples/aws-dms-cdc-sample,8521,2.297056810403833,14
realtime-bushfire-alert-with-apache-flink-cep,aws-samples,https://github.com/aws-samples/realtime-bushfire-alert-with-apache-flink-cep,20159,0.04380561259411362,13
reinvent-2018-social-news-app,aws-samples,https://github.com/aws-samples/reinvent-2018-social-news-app,16549,0.09582477754962354,19
amazon-kinesis-analytics-taxi-consumer,aws-samples,https://github.com/aws-samples/amazon-kinesis-analytics-taxi-consumer,11314,4.462696783025325,101
amazon-textract-searchable-pdf,aws-samples,https://github.com/aws-samples/amazon-textract-searchable-pdf,3583,3.887748117727584,19
aws-codeguru-profiler-demo-application,aws-samples,https://github.com/aws-samples/aws-codeguru-profiler-demo-application,65745,2.5708418891170433,59
amazon-aurora-mysql-with-mariadb-jdbc-driver,aws-samples,https://github.com/aws-samples/amazon-aurora-mysql-with-mariadb-jdbc-driver,501,2.0944558521560577,14
aws-iot-proxy-mobile-app-android,aws-samples,https://github.com/aws-samples/aws-iot-proxy-mobile-app-android,624,0.010951403148528405,4
amazon-chime-voice-connector-automated-reports,aws-samples,https://github.com/aws-samples/amazon-chime-voice-connector-automated-reports,9637,0.785763175906913,49
machinelearning-amazonai-amazontranscribe,aws-samples,https://github.com/aws-samples/machinelearning-amazonai-amazontranscribe,10349,0.08761122518822724,4
amazon-keyspaces-large-object-s3-demo,aws-samples,https://github.com/aws-samples/amazon-keyspaces-large-object-s3-demo,1863,2.223134839151266,16
amazon-kinesis-video-streams-media-screencast-android,aws-samples,https://github.com/aws-samples/amazon-kinesis-video-streams-media-screencast-android,628,0.04106776180698152,7
amazon-elasticache-redis-and-memcached-java-client-examples,aws-samples,https://github.com/aws-samples/amazon-elasticache-redis-and-memcached-java-client-examples,1600,0.0027378507871321013,4
aws-iot-job-agent-android,aws-samples,https://github.com/aws-samples/aws-iot-job-agent-android,8882,0.03285420944558522,4
aws-lambda-java-tiered-compilation-example,aws-samples,https://github.com/aws-samples/aws-lambda-java-tiered-compilation-example,994,0.5557837097878165,4
