repo_name,org,url,loc_val,age_years,commits_val
top-spring-on-kubernetes,spring-guides,https://github.com/spring-guides/top-spring-on-kubernetes,1361,10.789869952087612,38
androidtv-sample-inputs,googlesamples,https://github.com/googlesamples/androidtv-sample-inputs,24208,4.249144421629021,216
android-AppUsageStatistics,googlesamples,https://github.com/googlesamples/android-AppUsageStatistics,808,6.203969883641341,22
android-vision,googlesamples,https://github.com/googlesamples/android-vision,735,4.331279945242985,77
easypermissions,googlesamples,https://github.com/googlesamples/easypermissions,635,5.3579739904175225,184
hdinsight-kafka-java-get-started,Azure-Samples,https://github.com/Azure-Samples/hdinsight-kafka-java-get-started,13434,6.269678302532512,41
app-service-java-configure-deployment-sources-for-web-apps,Azure-Samples,https://github.com/Azure-Samples/app-service-java-configure-deployment-sources-for-web-apps,15324,5.61533196440794,41
ms-identity-android-native,Azure-Samples,https://github.com/Azure-Samples/ms-identity-android-native,4928,2.4914442162902124,65
active-directory-b2c-android-native-msal,Azure-Samples,https://github.com/Azure-Samples/active-directory-b2c-android-native-msal,25537,3.40041067761807,53
media-services-v3-java,Azure-Samples,https://github.com/Azure-Samples/media-services-v3-java,74258,5.535934291581109,161
aws-mobile-self-paced-labs-samples,aws-samples,https://github.com/aws-samples/aws-mobile-self-paced-labs-samples,8736,3.2799452429842573,10
aws-dms-cdc-sample,aws-samples,https://github.com/aws-samples/aws-dms-cdc-sample,8521,2.297056810403833,14
amazon-kinesis-analytics-taxi-consumer,aws-samples,https://github.com/aws-samples/amazon-kinesis-analytics-taxi-consumer,11314,4.462696783025325,101
amazon-textract-searchable-pdf,aws-samples,https://github.com/aws-samples/amazon-textract-searchable-pdf,3583,3.887748117727584,19
aws-codeguru-profiler-demo-application,aws-samples,https://github.com/aws-samples/aws-codeguru-profiler-demo-application,65745,2.5708418891170433,59
amazon-aurora-mysql-with-mariadb-jdbc-driver,aws-samples,https://github.com/aws-samples/amazon-aurora-mysql-with-mariadb-jdbc-driver,501,2.0944558521560577,14
amazon-keyspaces-large-object-s3-demo,aws-samples,https://github.com/aws-samples/amazon-keyspaces-large-object-s3-demo,1863,2.223134839151266,16
amazon-s3-lambda-transcribe-java-cdk,aws-samples,https://github.com/aws-samples/amazon-s3-lambda-transcribe-java-cdk,22998,2.647501711156742,39
