id,repo_name,github_url,CommitCount,AuthorCount,DaysActive,BusFactorNumber,lone_wolf,radio_silence,org_silo,total_code_smells,total_design_smells,total_impl_smells,in_social_analysis,in_clustering,clustering_outlier,has_bus_factor,url_note
1,Aspose.BarCode-for-Java,https://github.com/search?q=Aspose.BarCode-for-Java+language:Java&type=repositories,456.0,30.0,4649.0,1.0,1.0,0.0,1.0,1162,41,1121,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
2,Aspose.Cells-for-Java,https://github.com/search?q=Aspose.Cells-for-Java+language:Java&type=repositories,572.0,35.0,4711.0,1.0,1.0,0.0,1.0,2440,307,2133,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
3,Aspose.Diagram-for-Java,https://github.com/search?q=Aspose.Diagram-for-Java+language:Java&type=repositories,89.0,21.0,3015.0,1.0,1.0,0.0,1.0,346,26,320,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
4,Aspose.Email-for-Java,https://github.com/search?q=Aspose.Email-for-Java+language:Java&type=repositories,201.0,33.0,3018.0,1.0,1.0,0.0,1.0,850,180,670,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
5,Aspose.HTML-for-Java,https://github.com/search?q=Aspose.HTML-for-Java+language:Java&type=repositories,37.0,13.0,2980.0,1.0,1.0,0.0,1.0,514,156,358,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
6,Aspose.PDF-for-Java,https://github.com/search?q=Aspose.PDF-for-Java+language:Java&type=repositories,301.0,37.0,4542.0,1.0,1.0,0.0,1.0,1093,253,840,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
7,Aspose.Slides-for-Java,https://github.com/search?q=Aspose.Slides-for-Java+language:Java&type=repositories,466.0,31.0,4712.0,1.0,1.0,0.0,1.0,3385,593,2792,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
8,Aspose.Tasks-for-Java,https://github.com/search?q=Aspose.Tasks-for-Java+language:Java&type=repositories,123.0,26.0,4090.0,,0.0,0.0,1.0,762,137,625,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
9,Aspose.Words-for-Java,https://github.com/search?q=Aspose.Words-for-Java+language:Java&type=repositories,864.0,36.0,5045.0,1.0,1.0,0.0,1.0,13093,1136,11957,1,0,1,1,Resolve via build_repo_urls.py or GitHub search
10,Code_Along_with_GZM__JAVA,https://github.com/search?q=Code_Along_with_GZM__JAVA+language:Java&type=repositories,13.0,3.0,1.0,,0.0,0.0,0.0,13,5,8,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
11,CodingJava,https://github.com/search?q=CodingJava+language:Java&type=repositories,5.0,3.0,0.0,,0.0,1.0,0.0,4,2,2,1,0,0,0,Resolve via build_repo_urls.py or GitHub search
12,Commerce-API-Java,https://github.com/search?q=Commerce-API-Java+language:Java&type=repositories,16.0,2.0,19.0,0.0,0.0,0.0,0.0,38,7,31,1,0,1,1,Resolve via build_repo_urls.py or GitHub search
13,Core-Java,https://github.com/search?q=Core-Java+language:Java&type=repositories,132.0,1.0,1513.0,0.75,0.0,0.0,0.0,2254,432,1822,1,1,0,1,Resolve via build_repo_urls.py or GitHub search
